0.01	0.44867225
0.02	0.4481325
0.03	0.4472335
0.04	0.446856
0.05	0.4465955
0.06	0.446062
0.07	0.4454425
0.08	0.44535625
0.09	0.44491425
0.1	0.44446025
0.11	0.44415775
0.12	0.4434905
0.13	0.4435805
0.14	0.4432625
0.15	0.4430275
0.16	0.44309675
0.17	0.44301125
0.18	0.4427865
0.19	0.44351125
0.2	0.4432935
0.21	0.44322325
0.22	0.443536
0.23	0.443856
0.24	0.4443525
0.25	0.44507625
0.26	0.4454625
0.27	0.44701775
0.28	0.44751475
0.29	0.449174
0.3	0.44999275
0.31	0.45181775
0.32	0.4536665
0.33	0.45557675
0.34	0.45792125
0.35	0.46144
0.36	0.46531175
0.37	0.46975225
0.38	0.47795775
0.39	0.483978
0.4	0.5004525
0.41	0.645523
0.42	0.636892
0.43	0.629787
0.44	0.61633325
0.45	0.60892575
0.46	0.59952325
0.47	0.59234875
0.48	0.579787
0.49	0.57371275
0.5	0.56327925
0.51	0.55540325
0.52	0.541534
0.53	0.53840275
0.54	0.50187175
0.55	0.496093
0.56	0.427269
0.57	0
0.58	0.
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0

