0	0.10001
1	0.25592559
2	0.49544954
3	0.55355536
4	0.47564756
5	0.41914191
6	0.40574057
7	0.34583458
8	0.35573557
9	0.28682868
10	0.2890289
11	0.24962496
12	0.25582558
13	0.22372237
14	0.23212321
15	0.19931993
16	0.20522052
17	0.19051905
18	0.19771977
19	0.18251825
20	0.18351835
21	0.1760176
22	0.17621762
23	0.16841684
24	0.17031703
25	0.16551655
26	0.1650165
27	0.16031603
28	0.15591559
29	0.15651565
30	0.15571557
31	0.15161516
32	0.15051505
33	0.1490149
34	0.14931493
35	0.15111511
36	0.15341534
37	0.14891489
38	0.14651465
39	0.13981398
40	0.14231423
41	0.1380138
42	0.14311431
43	0.14371437
44	0.14051405
45	0.13831383
46	0.14221422
47	0.13781378
48	0.13551355
49	0.1340134

