0	0	0
0.3	0	0
0.6	0	0
0.9	0	0
1.2	0	0
1.5	0.06437515	0.06437515
1.8	0.13923114	0.13923114
2.1	0.19230538	0.19230538
2.4	0.23151852	0.23151852
2.7	0.26085087	0.26085087
3	0.28115249	0.28115249
3.3	0.30041403	0.30041403
3.6	0.31937555	0.31937555
3.9	0.33291663	0.33291663
4.2	0.34587767	0.34587767
4.5	0.35566845	0.35566845
5.1	0.37324986	0.37324986
5.7	0.38658093	0.38658093
6	0.39162133	0.39162133
6.6	0.40032203	0.40032203
7.2	0.40984279	0.40984279
7.8	0.41890351	0.41890351
8	0.420081	0.41853093
9	0.4280314	0.42952148
10	4.38E-01	0.4360818
11	0.440022	0.44415221
12	0.42514126	0.47144357
13	0.39878994	0.50094505
14	0.3900695	0.51786589
15	0.38156908	0.52588629
16	0.37919896	0.53827691
17	0.37325866	0.54263713
18	3.76E-01	0.54772739
19	0.3740287	0.55047752
20	3.70E-01	0.55294765
21	0.36910846	0.55284764
22	0.3699885	0.55572779
23	0.36885844	0.55669783
24	0.3680984	0.560008
25	0.36907845	0.55822791
26	0.36516826	0.55587779
27	0.3620181	0.55643782
28	0.36145807	0.55536777
29	0.3619481	0.5559978
30	0.3619481	0.5559978
