0	0.1
1	0.1312
2	0.1422
3	0.1395
4	0.139
5	0.1322
6	0.1257
7	0.1237
8	0.1155
9	0.1091
10	0.1042
11	0.096
12	0.092
13	0.0853
14	0.0807
15	0.0725
16	0.0725
17	0.0654
18	0.0609
19	0.0557
20	0.0477
21	0.0437
22	0.0403
23	0.0356
24	0.03
25	0.0285
26	0.0246
27	0.0235
28	0.0213
29	0.0203
30	0.02
31	0.0184
32	0.0183
33	0.0181
34	0.0158
35	0.0169
36	0.0147
37	0.0155
38	0.0139
39	0.0127
40	0.0121
41	0.0118
42	0.011
43	0.0106
44	0.0099
45	0.0093
46	0.0086
47	0.0074
48	0.0077
49	0.0073
50	0.0071
51	0.0063
52	0.006
53	0.0054
54	0.0056
55	0.0057
56	0.0052
57	0.0045
58	0.0043
59	0.0039
60	0.0036
61	0.0042
62	0.0037
63	0.0039
64	0.0034
65	0.0034
66	0.0033
67	0.0028
68	0.0029
69	0.0032
70	0.0027
71	0.0025
72	0.0025
73	0.0024
74	0.0027
75	0.002
76	0.0017
77	0.0013
78	0.002
79	0.0012
80	0.0014
81	0.0017
82	0.0013
83	0.0013
84	0.0013
85	0.0011
86	0.0016
87	0.0017
88	0.0014
89	0.0014
90	0.0016
91	0.0011
92	0.001
93	0.001
94	0.0009
95	0.0007
96	0.0006
97	0.0007
98	0.0006
99	0.0005

